external_id,unique_id,expiry_days
22133206,S-4RY8TE8YAD,0
22133188,S-34A9STTL1D,0
22133182,S-ERMVY3DR6R,0
22133181,S-PBAH9IOCSL,0
22133158,S-RR7SINLERY,0
22133156,S-SSLQYNG0AM,0
22133153,S-PS9DR72NQT,0
22133146,S-HQOPN1S6NS,0
22133127,S-MROTBL0CMC,0
22133081,S-M9E21Q2NRG,0
22132994,S-MEPEHECR9N,0
22132978,S-MPETVEAQ2N,0
22132972,S-TQTADSENBX,0
22132916,S-NDNS5BAR95,0
22132797,S-SPERT027ND,0
22132795,S-YTRR0PRN91,0
22132657,S-R4CQ3SMEDR,0
22132654,S-TYRGBALEAR,0
22132652,S-RO9CTT7ROO,0
22132651,S-I2ZSTAPLDT,0
22132648,S-YN9TC25RMY,0
22132628,S-BXDTLIMEYY,0
22132626,S-MSSABODDM4,0
22132624,S-2DR1RCVNOD,0
22132622,S-1TCBHRZ3XD,0
22132621,S-RSRRXSMYLN,0
22132613,S-PSOYBT6BOD,0
22132609,S-VT62BDYRLR,0
22132602,S-YBDCNN4EPR,0
22132584,S-SM3A862Y7E,0
22132583,S-HMPMS1Z2YO,0
22132562,S-MTPYIICOM5,0
22132561,S-SD8TTO6AYP,0
22132560,S-TITTTDGETT,0
22132558,S-RBLTIPV0EM,0
22132556,S-5ESCNRYPTI,0
22132555,S-PH4SEYRSCR,0
22132548,S-XDPRSN1NEB,0
22132546,S-XTB9OBAE0E,0
22132545,S-7I6SDXOPN9,0
22132542,S-AMPY6RZHYT,0
22132541,S-Y4N3YIVSSZ,0
22132539,S-PSPVS43MR5,0
22132538,S-6MRCS1BS7T,0
22132533,S-OTYBM0DZDB,1
22132518,S-TRNDPLVSRR,0
22132514,S-52TTOPDGED,0
22132506,S-7TETSB4XTS,0
22132505,S-YG4LPSOPTR,0
22132504,S-SBRYDAAMAR,0
22132503,S-VTAQNBR473,0
22132501,S-MQDQ9SCMMB,0
22132498,S-ODRR45NE4X,0
